year	birth	W.act	edu.spd		cru.div	rGDPgw
1971	4.54	39.5 	8.338870432	0.3	10.40
1972	4.14	39.6 	9.926918392	0.4	6.50
1973	4.1	41.5 	10.20236088	0.4	14.80
1974	3.81	41.5 	8.250976787	0.4	9.40
1975	3.47	40.4 	7.266495287	0.5	7.30
1976	3.05	43.2 	7.763248451	0.5	13.50
1977	3.02	41.7 	7.166786313	0.6	11.80
1978	2.65	43.3 	6.306950152	0.5	10.30
1979	2.9	43.3 	6.774385221	0.5	8.40
1980	2.83	42.8 	6.288697748	0.6	-1.90
1981	2.66	42.3 	6.446083669	0.6	7.40
1982	2.42	43.4 	7.15487776	0.7	8.30
1983	2.08	42.8 	6.967880007	0.7	12.20
1984	1.76	40.7 	7.434204269	0.9	9.90
1985	1.67	41.9 	7.786767605	1	7.50
1986	1.6	43.1 	7.94387021	1	12.20
1987	1.55	45.0 	8.231112089	1	12.30
1988	1.56	45.0 	7.615966264	1	11.70
1989	1.58	46.6 	8.018011499	1	6.80
1990	1.59	47.0 	8.406620171	1.1	9.30
1991	1.74	47.3 	8.535083217	1.1	9.70
1992	1.78	47.1 	9.256658269	1.2	5.80
1993	1.67	47.1 	9.369089468	1.3	6.30
1994	1.67	47.8 	9.304368871	1.4	8.80
1995	1.65	48.3 	10.03460016	1.5	8.90
1996	1.58	48.9 	10.46596951	1.7	7.20
1997	1.54	49.8 	10.90288888	2	5.80
1998	1.47	47.1 	11.50558189	2.5	-5.70
1999	1.42	47.6 	11.10586689	2.5	10.70
2000	1.47	48.8 	11.17259226	2.5	8.80
2001	1.3	49.3 	11.31628648	2.8	4.00
2002	1.17	49.8 	11.22910685	3	7.20
2003	1.19	49.0 	11.6496286	3.5	2.80
2004	1.16	49.9 	11.68425898	2.9	4.60
2005	1.08	50.1 	11.75516467	2.6	4.00
2006	1.12	50.3 	12.24885627	2.5	5.20
2007	1.25	50.2 	12.31025957	2.5	5.10
2008	1.19	50.0 	13.15503481	2.4	2.30
2009	1.15	49.2 	13.70083175	2.5	0.30
2010	1.23	49.4 	13.26973804	2.3	6.30
2011	1.24	49.7 	12.91792327	2.3	3.60

