year	C		Y		CPI
1970	2066.9 		2629.5 		5.383 
1971	2593.9 		3211.3 		6.110 
1972	3099.6 		3947.1 		6.824 
1973	3770.9 		5070.0 		7.043 
1974	5416.1 		7236.3 		8.755 
1975	7242.2 		9599.8 		10.966 
1976	9232.5 		13307.7 	12.647 
1977	11234.4 	17081.0 	13.924 
1978	14830.2 	23291.3 	15.937 
1979	19188.9 	29512.1 	18.857 
1980	24531.5 	35645.9 	24.269 
1981	30698.9 	44535.9 	29.451 
1982	34731.7 	50810.9 	31.569 
1983	39128.7 	59738.8 	32.649 
1984	43683.6 	68047.9 	33.391 
1985	48423.8 	75780.7 	34.212 
1986	53596.5 	89258.0 	35.153 
1987	60014.6 	105777.6 	36.225 
1988	69064.9 	126342.7 	38.813 
1989	80986.8 	142379.8 	41.026 
1990	96947.8 	171556.7 	44.543 
1991	117044.2 	207935.5 	48.701 
1992	134957.8 	237254.6 	51.726 
1993	153299.6 	267552.3 	54.210 
1994	182579.3 	314024.0 	57.607 
1995	214414.5 	360494.7 	60.188 
1996	245692.1 	402629.8 	63.152 
1997	271343.3 	438250.0 	65.955 
1998	252110.9 	422994.8 	70.911 
1999	289961.5 	465086.1 	71.487 
2000	330389.5 	517626.3 	73.102 
2001	364251.4 	561200.0 	76.075 
2002	408715.7 	625948.6 	78.177 
2003	420098.6 	664597.1 	80.924 
2004	435060.4 	719549.9 	83.830 
2005	465430.5 	748040.8 	86.139 
2006	494917.6 	785884.9 	88.070 
2007	530264.1 	844616.1 	90.302 
2008	561627.5 	898070.9 	94.523 
2009	575970.2 	927062.7 	97.129 
2010	616982.6 	1020302.2 	100.0 
2011	654857.7 	1076609.7 	104.0 

