1999/12	984.5
2000/01	952.50 
2000/02	902.70 
2000/03	878.40 
2000/04	779.80 
2000/05	720.80 
2000/06	795.10 
2000/07	794.13 
2000/08	720.35 
2000/09	622.90 
2000/10	548.07 
2000/11	544.09 
2000/12	526.36 
2001/01	585.02 
2001/02	593.40 
2001/03	543.89 
2001/04	530.27 
2001/05	600.73 
2001/06	602.90 
2001/07	554.10 
2001/08	567.70 
2001/09	504.00 
2001/10	523.30 
2001/11	604.90 
2001/12	666.00 
2002/01	739.00 
2002/02	774.40 
2002/03	864.70 
2002/04	894.00 
2002/05	842.20 
2002/06	784.30 
2002/07	753.70 
2002/08	713.20 
2002/09	703.00 
2002/10	642.20 
2002/11	679.70 
2002/12	699.80 
2003/01	631.00 
2003/02	591.60 
2003/03	550.80 
2003/04	585.90 
2003/05	613.50 
2003/06	663.20 
2003/07	703.50 
2003/08	731.70 
2003/09	742.30 
2003/10	756.50 
2003/11	789.10 
2003/12	801.20 
2004/01	845.50 
2004/02	867.50 
2004/03	875.60 
2004/04	907.10 
2004/05	798.80 
2004/06	771.60 
2004/07	746.10 
2004/08	770.30 
2004/09	835.90 
2004/10	849.10 
2004/11	863.10 
2004/12	873.10 
2005/01	903.40 
2005/02	964.50 
2005/03	988.20 
2005/04	955.40 
2005/05	939.00 
2005/06	991.30 
2005/07	1058.70 
2005/08	1101.80 
2005/09	1171.00 
2005/10	1190.90 
2005/11	1253.30 
2005/12	1338.80 
2006/01	1379.30 
2006/02	1341.70 
2006/03	1331.72 
2006/04	1415.92 
2006/05	1388.83 
2006/06	1249.19 
2006/07	1278.00 
2006/08	1316.08 
2006/09	1356.50 
2006/10	1354.00 
2006/11	1403.93 
2006/12	1418.83 
2007/01	1379.25 
2007/02	1434.89 
2007/03	1431.62 
2007/04	1517.12 
2007/05	1614.90 
2007/06	1754.28 
2007/07	1911.56 
2007/08	1815.02 
2007/09	1879.03 
2007/10	2004.60 
2007/11	1924.80 
2007/12	1903.60 
2008/01	1732.29 
2008/02	1689.53 
2008/03	1651.15 
2008/04	1776.58 
2008/05	1846.75 
2008/06	1758.17 
2008/07	1569.60 
2008/08	1537.54 
2008/09	1446.60 
2008/10	1201.70 
2008/11	1073.95 
2008/12	1114.90 
2009/01	1156.37 
2009/02	1139.75 
2009/03	1140.45 
2009/04	1322.10 
2009/05	1400.50 
2009/06	1395.24 
2009/07	1460.03 
2009/08	1577.91 
2009/09	1659.45 
2009/10	1630.61 
2009/11	1583.47 
2009/12	1646.64 
2010/01	1682.16 
2010/02	1598.96 
2010/03	1665.50 
2010/04	1730.29 
2010/05	1648.30 
2010/06	1691.94 
2010/07	1731.12 
2010/08	1762.18 
2010/09	1815.75 
2010/10	1889.70 
2010/11	1924.71 
2010/12	2002.50 
2011/01	2091.61 
2011/02	2002.87 
2011/03	2002.67 
2011/04	2153.13 
2011/05	2121.87 
2011/06	2074.64 
2011/07	2150.06 
2011/08	1869.41 
2011/09	1790.95 
2011/10	1825.88 
2011/11	1858.80 
2011/12	1863.23 
2012/01	1891.01 
2012/02	2003.23 
2012/03	2023.41 
2012/04	1995.92 
2012/05	1886.35 
2012/06	1848.60 
2012/07	1826.75 
2012/08	1918.91 
2012/09	1961.29 
2012/10	1942.19 
2012/11	1904.70 
2012/12	1973.84 
